old_slug	new_slug	new_title	collection	kind	one_line_reason
hasp-fold	accordion-latch	Accordion Latch	core	Accordion	Accordion whose closed sections latch shut with an SVG hasp and staple
assay-gate	approval-inline-diff	Approval Inline Diff	core	Approval	Tool-call approval row with every argument editable as an old-to-new diff
burin-etch	ascii-engraving-contour	ASCII Engraving Contour	loud	Generative	ASCII engraving where glyph density traces contour bands, not brightness
meridian-spin	ascii-globe-spin	ASCII Globe Spin	loud	Globe	ASCII globe with real landmasses and a day/night terminator, drag-rotated
torus-render	ascii-torus-donut	ASCII Torus Donut	loud	Torus	Rotating ASCII torus with real per-character depth buffering and Lambertian shading
pawl-tick	autosave-ratchet	Autosave Ratchet	core	Autosave	Autosave status as a 10-tooth gear advancing one notch per saved change
flock-stack	avatar-stack-flock	Avatar Stack Flock	core	Avatar	Avatar stack that mills as a boids flock and resolves into a row on hover
ascii-dither-media	background-ascii-dither	Background ASCII Dither	core	Background	Luminance-to-glyph background with ASCII, Bayer-dither and dot-matrix modes
glyph-tide	background-ascii-plasma	Background ASCII Plasma	loud	Background	Animated ASCII plasma field warped outward by the pointer
wake-glyph	background-ascii-wake	Background ASCII Wake	core	Background	Monospace cursor-trail field dragging a velocity-scaled character comet
chroma-tide	background-gradient-shader	Background Gradient Shader	loud	Gradient	Full-bleed WebGL gradient drifting theme colours through a domain-warped flow
patina-pip	badge-unread-tarnish	Badge Unread Tarnish	core	Badge	Unread badge that tarnishes from solid to outline to ring as it ages
tear-stub	banner-tear-stub	Banner Tear Stub	core	Banner	Dismissible notice that rips along a perforation, leaving a reopening stub
liquid-collar	border-chrome-ring	Border Chrome Ring	loud	Metal	Wraps any element in a WebGL molten-chrome torus band, not a flat gradient
spark-gap	border-electric-arc	Border Electric Arc	loud	CTA	Electric CTA border crackling via feTurbulence, arcing open near the cursor
bellows-crumb	breadcrumb-fold	Breadcrumb Fold	core	Breadcrumb	Breadcrumb whose ancestors rest pleated into slivers and inflate on hover
worn-path	breadcrumb-overflow-menu	Breadcrumb Overflow Menu	core	Breadcrumb	Breadcrumb collapsing from the middle into a menu of the hidden levels
heat-soak	button-cooldown-heat	Button Cooldown Heat	core	Button	Rate-limited button that visibly heat-soaks and hazes as presses deposit heat
glass-button	button-glass	Button Glass	core	Button	Liquid-glass button with translucent blurred surface and press states
torsion-wind	button-retry-backoff	Button Retry Backoff	core	Button	Retry button that winds a torsion spring through its real backoff timing
emboss-plate	card-number-emboss	Card Number Emboss	core	Payment	Card-number input where digits raise as bevelled metal under a stamping caret
riffle-edge	carousel-card-riffle	Carousel Card Riffle	core	Stack	Card-stack navigator scrubbed by its own visible stripe of card edges
aurora-flow-chart	chart-area-aurora	Chart Area Aurora	loud	Chart	Area chart whose fill is a live aurora curtain hue-banded by local trend
signal-terrain	chart-ridgeline-terrain	Chart Ridgeline Terrain	core	Data viz	Ridgeline chart whose history recedes into cursor-dented ambient noise terrain
topple-run	checkbox-domino-run	Checkbox Domino Run	core	Checkbox	Select-all propagating as a domino wavefront you can interrupt mid-run
nib-check	checkbox-ink-stroke	Checkbox Ink Stroke	core	Checkbox	Checkbox and tri-state select-all inked by a variable-width calligraphic stroke
tally-notch	checkbox-tally-notch	Checkbox Tally Notch	core	Checkbox	Checkbox group carving tally notches, every fifth stroke crossing the group
trestle-gap	citation-grounding-gap	Citation Grounding Gap	core	RAG	RAG baseline: a solid plank under sourced sentences, a dashed gap where none
bedrock-trace	citation-grounding-hatch	Citation Grounding Hatch	core	RAG	Per-sentence RAG grounding with a third state: hatch where a source contradicts
margin-cite	citation-inline-card	Citation Inline Card	core	Citation	Inline citation pill opening one card with a 1-of-N stepper, not a popover each
event-horizon-command	command-palette-orbit	Command Palette Orbit	loud	Command palette	Cmd-K palette where orbital radius is the fuzzy-match score
